id,seen,speed,direction,
754b3454,1519885014799,67.71,right,
fdf0f273,1519885018109,65.65,right,
8f27c22e,1519885022591,57.68,left,
64194bcc,1519885039054,65.45,left,
d2c69018,1519885063086,73.1,right,
7c72abb4,1519885064014,0.0,left,
15baa25f,1519885129647,56.25,right,
bfad83de,1519885130860,56.18,right,
fc40ec1a,1519885132287,53.8,right,
fa3a9f29,1519885134099,56.18,right,
41dd6490,1519885136463,56.03,right,
89d3090c,1519885138476,56.32,right,
d272d47f,1519885145025,0.0,right,
e242d282,1519885145063,0.0,right,
a18a3594,1519885145861,37.02,right,
84644f79,1519885148831,53.93,right,
d221d971,1519885149551,0.0,right,
4b261728,1519885150402,50.41,right,
0583b2c2,1519885152479,58.78,left,
c3ae2711,1519885155651,54.07,right,
a0c0a03c,1519885159070,60.17,right,
0b7b5907,1519885161025,48.98,left,
ed7a3ba7,1519885167646,67.82,right,
693a6b0e,1519885168814,0.0,left,
0534703e,1519885169220,34.5,left,
acefc9f6,1519885169220,0.0,left,
1ec064b6,1519885169186,0.0,left,
916bc98b,1519885169294,34.39,left,
abfad8ee,1519885184031,77.28,right,
f64b68a2,1519885201693,70.94,right,
13207892,1519885204382,60.0,left,
3d043cfc,1519885223854,66.77,right,
04ff48bc,1519885250063,67.08,right,
2add40b0,1519885257678,70.94,right,
544f5bd3,1519885258655,71.17,left,
2bce0abb,1519885261615,66.77,right,
4af69a39,1519885265840,67.61,right,
943b06a3,1519885267359,67.39,right,
72508cd3,1519885289314,67.19,right,
672365c1,1519885321508,53.33,left,
4db89b1b,1519885321473,48.85,left,
391b099b,1519885336399,50.07,right,
02d8f340,1519885358509,46.75,left,
c24f8a34,1519885390605,68.44,right,
0cbabf48,1519885401582,43.53,left,
9d92d469,1519885403712,53.97,right,
980608ea,1519885404596,0.0,left,
9311cc41,1519885405236,56.16,right,
ae4336b6,1519885408642,52.02,right,
a31a3f7a,1519885458223,58.92,right,
39b23e09,1519885487395,53.57,left,
09d67037,1519885490738,35.75,left,
3e48bfcb,1519885518465,42.55,left,
bc1b157a,1519885520031,39.3,left,
eab26101,1519885532161,44.67,left,
d680d40a,1519885534447,54.88,left,
8b701811,1519885535887,49.93,right,
aa7d42b4,1519885551746,52.02,right,
b3667b89,1519885559933,44.78,left,
bcd47eab,1519885562975,47.87,left,
bdd68fc9,1519885564114,0.0,left,
9d9acfb2,1519885571216,52.25,right,
66a2354d,1519885572255,52.25,right,
81488c44,1519885605778,41.1,left,
3f24a858,1519885607167,40.91,left,
69867171,1519885608383,42.35,left,
c40c7c98,1519885610997,40.54,left,
633637f7,1519885612801,39.47,left,
0399ad37,1519885614031,37.78,left,
e1e0ebe2,1519885660399,49.93,right,
0908e83e,1519885661039,0.0,right,
